,Unnamed: 0,DATA NUMBER,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
0,0,0,2020,5,8,6,2001,VONGFONG,2,6.8,134.0,1006,0,0,0,0,0,0,0,0,2020-05-08 06:00:00,1588917600
1,1,1,2020,5,8,12,2001,VONGFONG,2,6.4,133.4,1008,0,0,0,0,0,0,0,0,2020-05-08 12:00:00,1588939200
2,2,2,2020,5,8,18,2001,VONGFONG,2,6.3,132.9,1006,0,0,0,0,0,0,0,0,2020-05-08 18:00:00,1588960800
3,3,3,2020,5,9,0,2001,VONGFONG,2,6.5,132.7,1008,0,0,0,0,0,0,0,0,2020-05-09 00:00:00,1588982400
4,4,4,2020,5,9,6,2001,VONGFONG,2,6.7,132.5,1006,0,0,0,0,0,0,0,0,2020-05-09 06:00:00,1589004000
5,5,5,2020,5,9,12,2001,VONGFONG,2,7.0,132.2,1008,0,0,0,0,0,0,0,0,2020-05-09 12:00:00,1589025600
6,6,6,2020,5,9,18,2001,VONGFONG,2,7.2,132.0,1006,0,0,0,0,0,0,0,0,2020-05-09 18:00:00,1589047200
7,7,7,2020,5,10,0,2001,VONGFONG,2,7.6,131.4,1006,0,0,0,0,0,0,0,0,2020-05-10 00:00:00,1589068800
8,8,8,2020,5,10,6,2001,VONGFONG,2,7.9,130.9,1004,0,0,0,0,0,0,0,0,2020-05-10 06:00:00,1589090400
9,9,9,2020,5,10,12,2001,VONGFONG,2,8.2,130.3,1006,0,0,0,0,0,0,0,0,2020-05-10 12:00:00,1589112000
10,10,10,2020,5,10,18,2001,VONGFONG,2,8.3,129.7,1004,0,0,0,0,0,0,0,0,2020-05-10 18:00:00,1589133600
11,11,11,2020,5,11,0,2001,VONGFONG,2,8.3,129.2,1006,0,0,0,0,0,0,0,0,2020-05-11 00:00:00,1589155200
12,12,12,2020,5,11,6,2001,VONGFONG,2,8.7,129.0,1004,0,0,0,0,0,0,0,0,2020-05-11 06:00:00,1589176800
13,13,13,2020,5,11,12,2001,VONGFONG,2,9.1,129.1,1006,0,0,0,0,0,0,0,0,2020-05-11 12:00:00,1589198400
14,14,14,2020,5,11,18,2001,VONGFONG,2,9.6,129.2,1004,0,0,0,0,0,0,0,0,2020-05-11 18:00:00,1589220000
15,15,15,2020,5,12,0,2001,VONGFONG,2,10.2,129.4,1006,0,0,0,0,0,0,0,0,2020-05-12 00:00:00,1589241600
16,16,16,2020,5,12,6,2001,VONGFONG,2,10.7,129.5,1004,0,0,0,0,0,0,0,0,2020-05-12 06:00:00,1589263200
17,17,17,2020,5,12,12,2001,VONGFONG,3,11.3,129.5,1000,35,0,0,0,1,90,60,0,2020-05-12 12:00:00,1589284800
18,18,18,2020,5,12,18,2001,VONGFONG,3,11.6,129.2,998,40,0,0,0,1,90,60,0,2020-05-12 18:00:00,1589306400
19,19,19,2020,5,13,0,2001,VONGFONG,4,11.8,128.9,992,50,0,0,0,1,90,60,0,2020-05-13 00:00:00,1589328000
20,20,20,2020,5,13,6,2001,VONGFONG,4,12.0,128.4,985,60,9,20,20,1,90,60,0,2020-05-13 06:00:00,1589349600
21,21,21,2020,5,13,12,2001,VONGFONG,5,12.2,127.8,975,70,9,25,25,1,90,60,0,2020-05-13 12:00:00,1589371200
22,22,22,2020,5,13,18,2001,VONGFONG,5,12.2,127.0,965,80,9,30,30,1,90,60,0,2020-05-13 18:00:00,1589392800
23,23,23,2020,5,14,0,2001,VONGFONG,5,12.1,126.2,960,85,9,30,30,1,90,60,0,2020-05-14 00:00:00,1589414400
24,24,24,2020,5,14,6,2001,VONGFONG,5,12.2,125.3,960,85,9,30,30,1,90,60,0,2020-05-14 06:00:00,1589436000
25,25,25,2020,5,14,12,2001,VONGFONG,5,12.3,124.4,975,70,9,25,25,1,90,60,0,2020-05-14 12:00:00,1589457600
26,26,26,2020,5,14,18,2001,VONGFONG,5,12.7,123.6,980,65,9,25,25,1,90,60,0,2020-05-14 18:00:00,1589479200
27,27,27,2020,5,15,0,2001,VONGFONG,5,13.3,122.7,980,65,9,25,25,1,90,60,0,2020-05-15 00:00:00,1589500800
28,28,28,2020,5,15,6,2001,VONGFONG,4,14.0,121.9,992,50,0,0,0,1,90,60,0,2020-05-15 06:00:00,1589522400
29,29,29,2020,5,15,12,2001,VONGFONG,3,14.9,121.3,994,45,0,0,0,1,90,60,0,2020-05-15 12:00:00,1589544000
30,30,30,2020,5,15,18,2001,VONGFONG,3,16.2,120.6,1000,35,0,0,0,1,90,60,0,2020-05-15 18:00:00,1589565600
31,31,31,2020,5,16,0,2001,VONGFONG,3,17.3,120.0,1000,35,0,0,0,1,90,60,0,2020-05-16 00:00:00,1589587200
32,32,32,2020,5,16,6,2001,VONGFONG,3,18.1,119.6,1000,35,0,0,0,1,90,60,0,2020-05-16 06:00:00,1589608800
33,33,33,2020,5,16,12,2001,VONGFONG,2,18.9,119.5,1002,0,0,0,0,0,0,0,0,2020-05-16 12:00:00,1589630400
34,34,34,2020,5,16,18,2001,VONGFONG,2,19.7,119.5,1004,0,0,0,0,0,0,0,0,2020-05-16 18:00:00,1589652000
35,35,35,2020,5,17,0,2001,VONGFONG,2,20.6,120.0,1004,0,0,0,0,0,0,0,0,2020-05-17 00:00:00,1589673600
36,36,36,2020,5,17,6,2001,VONGFONG,2,21.3,121.1,1004,0,0,0,0,0,0,0,0,2020-05-17 06:00:00,1589695200
37,37,37,2020,5,17,12,2001,VONGFONG,2,21.6,122.1,1004,0,0,0,0,0,0,0,0,2020-05-17 12:00:00,1589716800
38,38,38,2020,5,17,18,2001,VONGFONG,2,22.0,123.1,1002,0,0,0,0,0,0,0,0,2020-05-17 18:00:00,1589738400
39,39,39,2020,5,18,0,2001,VONGFONG,2,22.6,124.3,1004,0,0,0,0,0,0,0,0,2020-05-18 00:00:00,1589760000
40,40,40,2020,5,18,6,2001,VONGFONG,2,24.4,127.0,1002,0,0,0,0,0,0,0,0,2020-05-18 06:00:00,1589781600
41,41,41,2020,6,10,0,2002,NURI,2,11.3,126.4,1008,0,0,0,0,0,0,0,0,2020-06-10 00:00:00,1591747200
42,42,42,2020,6,10,6,2002,NURI,2,12.1,125.9,1006,0,0,0,0,0,0,0,0,2020-06-10 06:00:00,1591768800
